"","No.","Player","Pos","Ht","Wt","Birth Date","","Exp","College"
"1","00","Chris Andersen","C","6-10",245,"July 7, 1978","us","14","Blinn College"
"2","6","Andrew Bogut","C","7-0",260,"November 28, 1984","au","11","University of Utah"
"3","3","Mike Dunleavy","SF","6-9",230,"September 15, 1980","us","14","Duke University"
"4","20","Kay Felder","PG","5-9",176,"March 29, 1995","us","R","Oakland University"
"5","8","Channing Frye","C","6-11",255,"May 17, 1983","us","10","University of Arizona"
"6","2","Kyrie Irving","PG","6-3",193,"March 23, 1992","au","5","Duke University"
"7","23","LeBron James","SF","6-8",250,"December 30, 1984","us","13",""
"8","24","Richard Jefferson","SF","6-7",233,"June 21, 1980","us","15","University of Arizona"
"9","30","Dahntay Jones","SF","6-6",225,"December 27, 1980","us","12","Rutgers University, Duke University"
"10","1","James Jones","SF","6-8",218,"October 4, 1980","us","13","University of Miami"
"11","26","Kyle Korver","SG","6-7",212,"March 17, 1981","us","13","Creighton University"
"12","14","DeAndre Liggins","SG","6-6",209,"March 31, 1988","us","3","University of Kentucky"
"13","0","Kevin Love","PF","6-10",251,"September 7, 1988","us","8","University of California, Los Angeles"
"14","12","Jordan McRae","SG","6-6",185,"March 28, 1991","us","1","University of Tennessee"
"15","9","Larry Sanders","C","6-11",235,"November 21, 1988","us","5","Virginia Commonwealth University"
"16","4","Iman Shumpert","SG","6-5",220,"June 26, 1990","us","5","Georgia Institute of Technology"
"17","5","J.R. Smith","SG","6-6",225,"September 9, 1985","us","12",""
"18","40","Edy Tavares","C","7-3",260,"March 22, 1992","cv","1",""
"19","13","Tristan Thompson","C","6-9",238,"March 13, 1991","ca","5","University of Texas at Austin"
"20","31","Deron Williams","PG","6-3",200,"June 26, 1984","us","11","University of Illinois at Urbana-Champaign"
"21","3-32","Derrick Williams","PF","6-8",240,"May 25, 1991","us","5","University of Arizona"
