"","team","experience","salary","points3","points2","points1","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency"
"1","ATL",100,93.405591,660,2337,1453,8107,832,2676,1846,645,381,1201,1432,147.212304829632
"2","BOS",63,91.915088,985,2183,1536,8857,744,2698,2069,617,340,1037,1686,148.239471075772
"3","BRK",70,76.215674,777,2040,1444,7855,689,2697,1664,568,382,1212,1620,167.033308953629
"4","CHI",59,92.501887,565,2162,1330,7349,865,2419,1746,605,339,956,1275,139.097776910387
"5","CHO",63,88.504773,808,2089,1497,8099,621,2615,1806,543,316,820,1177,141.50192409742
"6","CLE",145,127.254579,1030,2148,1384,8770,735,2673,1779,483,304,1020,1356,182.08056471608
"7","DAL",65,92.8283,712,1754,1007,6651,521,2063,1183,507,257,674,1229,144.632238905316
"8","DEN",83,79.028222,868,2351,1477,8783,872,2660,2015,543,286,1102,1475,172.244482315352
"9","DET",55,103.074487,631,2638,1140,8309,908,2838,1732,574,310,932,1467,136.408918920776
"10","GSW",113,100.242565,982,2545,1455,9491,770,2869,2486,782,554,1179,1581,175.338438215436
"11","HOU",70,87.392332,1140,2011,1623,9065,857,2608,1969,617,331,1113,1473,165.284764302782
"12","IND",95,92.620837,709,2512,1467,8618,742,2702,1844,669,409,1087,1597,148.714114462334
"13","LAC",124,114.77662,841,2401,1586,8911,738,2790,1848,612,347,1022,1626,147.073717647971
"14","LAL",65,85.12544,582,2069,1021,6905,789,2213,1334,510,267,972,1444,131.456064602322
"15","MEM",90,108.945842,757,2176,1489,8112,880,2582,1725,629,335,993,1798,147.553298461331
"16","MIA",63,72.944376,799,2349,1217,8312,856,2648,1728,579,464,1019,1647,152.186279771425
"17","MIL",83,104.646574,720,2462,1413,8497,723,2589,1984,666,436,1096,1660,161.245002619074
"18","MIN",48,59.878274,599,2607,1580,8591,932,2516,1924,641,368,1085,1620,140.778147311487
"19","NOP",78,94.035475,519,1956,1128,6597,580,2248,1531,502,380,828,1168,175.166170861824
"20","NYK",59,97.106917,636,2445,1262,8060,962,2592,1499,526,451,975,1584,143.915205762282
"21","OKC",55,86.981364,611,2380,1511,8104,936,2628,1610,595,395,1133,1561,146.918187328007
"22","ORL",62,104.110336,618,2178,1232,7442,707,2452,1760,546,305,987,1445,133.143804816136
"23","PHI",39,56.293357,718,1960,1225,7299,690,2354,1816,613,375,1197,1573,172.954607243973
"24","PHO",73,73.282578,569,2554,1615,8430,882,2464,1531,588,385,1171,1887,149.234650075118
"25","POR",43,102.488763,847,2148,1386,8223,706,2428,1508,522,342,978,1581,141.795740854535
"26","SAC",77,88.277202,562,1838,998,6360,525,1876,1402,506,232,850,1303,155.824663107405
"27","SAS",99,105.395531,753,2469,1440,8637,821,2777,1954,655,484,1057,1498,149.704331552005
"28","TOR",57,108.458469,626,2359,1570,8166,847,2535,1469,620,379,932,1609,158.755627589552
"29","UTA",71,80.323193,791,2242,1401,8258,771,2774,1651,550,410,1060,1545,145.805561544578
"30","WAS",57,100.785911,718,2526,1368,8574,806,2564,1893,655,325,1062,1643,147.805103098992
